id,title,ISBN13,pages,authors,publisher,date
243,Java for Everyone,9780471791911,515,Cay S. Horstmann,John Wiley & Sons,February 2nd 2010
244,Murach's Java Servlets and JSP,9781890774448,729,"Joel Murach,Andrea Steelman",Mike Murach & Associates,February 1st 2008
245,Ivor Horton's Beginning Java: Java 7 Edition,9780470404140,1117,Ivor Horton,Wrox Press,September 27th 2011
246,Reviewing Java,9780557043552,390,Alex Maureau,Lulu.com,July 21st 2013
247,Concurrent Programming in Java: Design Principles and Pattern,9780201310092,432,Doug Lea,Addison-Wesley Professional,November 4th 1999
248,Data Structures and Algorithm Analysis in Java,9780321370136,576,Mark Allen Weiss,Addison Wesley,March 3rd 2006
249,Modern Compiler Implementation in Java,9780521820608,512,Andrew W. Appel,Cambridge University Press,January 28th 2015
250,Java Script: The Good Parts,9787564114473,153,Douglas Crockford,Southeast University Press,2009
251,Java Pocket Guide,9780596514198,194,"Robert Liguori,Patricia Liguori",O'Reilly Media,March 12th 2008
252,"Cracking The C, C++, And Java Interview",9780070680258,260,S.G. Ganesh,Tata McGraw Hill Education Private Limited,October 8th 2009
253,Core Java,9780135657553,622,"Gary Cornell,Cary Horstman",Sunsoft Press,1996
254,Java Security,9780596001575,620,Scott Oaks,O'Reilly Media,May 24th 2001
255,Raffles and the British Invasion of Java,9789814358866,340,Tim Hannigan,Monsoon Books,November 1st 2012
256,Java Cryptography,9781565924024,364,Jonathan Knudsen,O'Reilly Media,May 8th 1998
257,Exploring Java (O'Reilly Java),9781565922716,614,"Patrick Niemeyer,Joshua Peck,Mike Loukides,Josh Peck",O'Reilly Media,September 11th 1997
258,Java Network Programming,9780596007218,735,Elliote Rusty Harold,O'Reilly Media,November 2nd 2004
259,"A Little Java, a Few Patterns",9780262561150,194,"Matthias Felleisen,Daniel P. Friedman",Mit Press,December 24th 1997
260,Sams Teach Yourself Java in 21 Days (Covering Java 7 and Android),9780672335747,720,Rogers Cadenhead,Sams Publishing,August 27th 2012
261,Java 2: The Complete Reference,9780072119763,1108,"Patrick Naughton,Herbert Schildt",Osborne Publishing,March 1st 1999
262,Operating System Concepts with Java,9780470509494,1020,"Abraham Silberschatz,Peter Baer Galvin,Greg Gagne",John Wiley & Sons,November 1st 2009
263,Java 7: The Complete Reference,9780071606301,1116,Herbert Schildt,McGraw-Hill/Osborne Media,July 21st 2011
264,The Way of a Boy: A Memoir of Java,9780140179750,200,Ernest Hillen,Penguin Books,1994
265,Restful Java with Jax-RS,9780596158040,314,Bill Burke,O'Reilly Media,December 4th 2009
266,Triptych,,106,Java Davis,Amazon Digital Services,December 2nd 2013
267,Modular Java,9781934356401,260,Craig Walls,Pragmatic Bookshelf,June 30th 2009
268,Java Programming,9780393974379,816,K.N. King,W. W. Norton & Company,July 13th 2000
269,Java for Programmers,9780132821544,1126,"Paul J. Deitel,Harvey M. Deitel",Prentice Hall,April 28th 2011
270,The Elements of Java Style,9780521777681,146,Scott W. Ambler,Cambridge University Press,January 28th 2000
271,Death Before Decaf,9780804181303,296,Caroline Fardig,Alibi,November 17th 2015
272,Killer Game Programming in Java,9780596007300,969,"Andrew Davison,Brett McLaughlin",O'Reilly Media,May 30th 2005
273,Java SE 8 for the Really Impatient,9780321927767,215,Cay S. Horstmann,Addison-Wesley Professional,January 24th 2014
274,Java Swing,9780596004088,1280,"Marc Loy,Robert Eckstein,Dave Wood,Brian Cole",O'Reilly Media,November 27th 2002
275,On To Java,9780201385984,,Patrick Henry Winston,Addison Wesley Longman,July 1st 1998
276,Java 8 Pocket Guide,9781491900864,223,"Robert Liguori,Patricia Liguori",O'Reilly Media,April 28th 2014
277,Sticky Moon,,327,Lily Java,Lily Java,November 23rd 2014
278,Java SE 6:  The Complete Reference,9780072263855,1024,Herbert Schildt,McGraw-Hill/Osborne Media,December 1st 2006
279,Bitter Java,9781930110434,368,Bruce Tate,Manning Publications,March 1st 2002
280,Java,9782841772766,,"Kathy Sierra,Bert Bates,Marie-Cécile Baland",,
281,"Parijs van Java: Darah, Keringat, Air mata",,597,Remy Sylado,Kepustakaan Populer Gramedia,2003
282,The Lost Java,,363,Kun Geia,IG Press,July 1st 2012
283,Beyond Java,9780596100940,208,Bruce Tate,O'Reilly Media,September 29th 2005
284,Pragmatic Unit Testing in Java with JUnit,9780974514017,176,"Andrew Hunt,Dave Thomas",Pragmatic Bookshelf,September 8th 2003
285,Learn Java for Android Development,9781430231561,636,Jeff Friesen,Apress,September 30th 2010
286,"Core Java, Volume II--Advanced Features",9780131118263,1002,"Cay S. Horstmann,Gary Cornell",Prentice Hall,
287,"Core Java, Volume 1: Fundamentals",9780132354769,836,"Cay S. Horstmann,Gary Cornell",Prentice Hall PTR,September 21st 2007
288,SCJP Sun Certified Programmer for Java 6 Study Guide,9780071591065,851,"Kathy Sierra,Bert Bates",McGraw-Hill,June 24th 2008
289,Java Threads,9780596007829,340,"Scott Oaks,Henry Wong",O'Reilly Media,September 20th 2004
290,Java Spider,9780099549512,448,Geoffrey Archer,Arrow,May 8th 1997
291,Java All-In-One for Dummies,9780470371725,880,Doug Lowe,For Dummies,August 30th 2011
292,Core Java Career Essentials,9781461137993,544,"Arulkumaran Kumaraswamipillai,Sivayini Arulkumaran",Createspace,July 1st 2011
293,Functional Programming in Java: Harnessing the Power of Java 8 Lambda Expressions,,160,Venkat Subramaniam,Pragmatic Press,March 6th 2013
294,Hardcore Java,9780596005689,348,Robert Simmons Jr.,O'Reilly Media,March 18th 2004
295,Cowgirl,,124,Java Davis,"Java Davis, author",December 2nd 2013
296,Java Performance: The Definitive Guide,9781449358457,500,Scott Oaks,O'Reilly Media,May 22nd 2014
297,"Jazz, Java & Jesus",9781441574350,110,Aleysha R. Proctor,Xlibris Corporation,December 28th 2009
298,Java In Easy Steps (Swing Into Java Programming),9780760754214,192,Mike  McGrath,,2004
299,Programming With Java: A Primer,9780070141698,470,E. Balagurusamy,McGraw-Hill Higher Education,November 1st 2009
300,Java 2: The Complete Reference,9780072224207,1184,"Herbert Schildt,Herb Schildt",McGraw-Hill/Osborne Media,August 13th 2002
301,Java: A Beginner's Guide (Beginner's Guide),9780072231892,,Herbert Schildt,McGraw-Hill/Osborne Media,
302,Java for Dummies [With CDROM],9780470087169,360,Barry Burd,For Dummies,December 11th 2006
303,What's New in Java 7?,,19,Madhusudhan Konda,O'Reilly Media,October 20th 2011
304,Data Structures and Algorithms in Java,9780672324536,800,Robert Lafore,Sams Publishing,November 16th 2002
305,Java & XML,9780596101497,465,"Brett McLaughlin,Justin Edelson",O'Reilly Media,December 1st 2006
306,"Java Puzzlers: Traps, Pitfalls, and Corner Cases",9780321336781,282,"Joshua Bloch,Neal Gafter",Addison-Wesley Professional,September 1st 2005
307,Java 8 in Action,,394,"Raoul-Gabriel Urma,Mario Fusco,Alan Mycroft",Manning Publications Co.,August 2014
308,Java:  The Complete Reference,9780071606318,1000,Herbert Schildt,McGraw-Hill Education,February 7th 2011
309,Absolute Java,9780321312532,1248,Walter J. Savitch,Addison Wesley Publishing Company,January 1st 2006
310,Ocp Java Se 7 Programmer Study Guide,9780071772006,888,"Kathy Sierra,Bert Bates",McGraw-Hill/Osborne Media,February 4th 2013
311,Java Examples in a Nutshell: A Companion Volume to Java in a Nutshell,9781565923713,397,David Flanagan,O'Reilly Media,September 8th 1997
312,Java Generics and Collections,9780596527754,286,"Maurice Naftalin,Philip Wadler",O'Reilly Media,October 24th 2006
313,The Well-Grounded Java Developer: Vital techniques of Java 7 and polyglot programming,9781617290060,462,"Benjamin J. Evans,Martijn Verburg",Manning Publications,July 18th 2012
314,The Java Programming Language,9780321349804,891,"Ken Arnold,James Gosling,David Holmes",Addison-Wesley,August 25th 2005
315,Introduction to Java Programming: Comprehensive Version,9780132221580,1301,Y. Daniel Liang,Prentice Hall,June 1st 2006
316,Java Cookbook,9780596007010,829,Ian F. Darwin,O'Reilly Media,June 24th 2004
317,Beginning Programming with Java for Dummies,9780764588747,408,Barry Burd,For Dummies,April 19th 2005
318,Big Java,9780470105542,1204,Cay S. Horstmann,John Wiley & Sons,March 1st 2007
319,Data Structures and Algorithms in Java,9780471738848,720,"Michael T. Goodrich,Roberto Tamassia",Wiley,August 1st 2005
320,Java Man,9780988895737,340,Harris Gray,Harrisgray,November 5th 2013
321,Java Persistence with Hibernate,9781932394887,841,"Christian Bauer,Gavin King,Linda DeMichiel",Manning Publications,December 1st 2006
322,Java Performance,,720,"Charlie Hunt,Binu John",,
323,Spiritual Java,,258,"Bill Johnson,Kris Vallotton,Kevin Dedmon,Beni Johnson,Danny Silk,Banning Liebscher",Destiny Image,October 21st 2010
324,Murder in Java,,396,Richard Garner,Inter Technologies Limited,July 13th 2015
325,Learning Java,9780596008734,980,"Patrick Niemeyer,Jonathan Knudsen",O'Reilly Media,May 27th 2005
326,The Religion of Java,9780226285108,412,Clifford Geertz,University Of Chicago Press,February 15th 1976
327,Commune,9781495412271,130,Java Davis,Createspace Independent Publishing Platform,January 31st 2014
328,The History of Java,9789791680998,938,"Thomas Stamford Raffles,Eko Prasetyaningrum,Nuryati Agustin,Idda Qoryati Mahbubah","Narasi, Yogya",2008
329,Java: How to Program,9780131483989,1568,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall,August 14th 2004
330,Depression Carpenter,9781499605266,102,Java Davis,Createspace,December 2nd 2013
331,Metal: A Treasure Hunt,,175,Java Davis,Amazon Digital Services,July 2015
332,South by Java Head,9780006172482,,Alistair MacLean,Harper,May 6th 2008
333,Java in a Nutshell,9780596007737,1224,David Flanagan,O'Reilly Media,March 25th 2005
334,Java Concurrency in Practice,9780321349606,403,"Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes,Doug Lea",Addison-Wesley Professional,May 1st 2006
335,Effective Java Programming Language Guide,785342310054,272,"Joshua Bloch,Guy L. Steele Jr.",Addison-Wesley Professional,June 5th 2001
336,Head First Java,9780596009205,688,"Kathy Sierra,Bert Bates",O'Reilly Media,February 19th 2005
337,Thinking in Java,9780131872486,1482,Bruce Eckel,Prentice Hall,February 20th 2006
338,Data Structures and the Java Collections Framework,9780073022659,784,William J.  Collins,McGraw-Hill Science/Engineering/Math,April 20th 2004
339,Java 2 Black Book,9781932111002,1192,Steven Holzner,Paraglyph Press,June 1st 2001
340,Groovy Programming: An Introduction for Java Developers,9780123725073,476,"Kenneth Barclay,John  Savage",Morgan Kaufmann Publishers,December 1st 2006
341,Harnessing Java 7: A Comprehensive Approach to Learning Java,9781463767716,618,Kishori Sharan,Createspace,April 14th 2012
342,Hooked on Java,9780201488371,240,Arthur Van Hoff,Addison Wesley Longman,January 1st 1996
343,Beginning Java SE 6 Game Programming,9781435458086,369,Jonathan S. Harbour,Course Technology,January 18th 2011
344,Just Java and Beyond 1.1 (Java Series),9780137841745,654,Peter Vanderlinden,Prentice Hall Ptr,November 30th 1997
345,The Java Gold: Book 1 the Odyssey,9781522736349,356,Robert A. Kingsley,,December 18th 2015
346,Mr. Bunny's Big Cup O' Java(tm),9780201615630,128,Carlton Egremont III,Addison-Wesley Professional,April 22nd 1999
347,Building Parsers with Java(tm) [With CD],9780201719628,400,Steven John Metsker,Addison-Wesley Professional,April 5th 2001
348,Java Man: How Two Geologists Changed Our Understanding of Human Evolution,9780226787343,256,"Carl C. Swisher III,Roger Lewin,Garniss H. Curtis",University Of Chicago Press,November 1st 2001
349,Developing Java Software,9780471976554,830,"Russel L. Winder,Graham Roberts",Wiley,December 8th 1997
350,The Java/C++ Cross Reference Handbook [With Java/C++],9780138483180,480,Frederick F. Chew,Prentice Hall PTR,December 22nd 1997
351,Introdução À Arquitetura e Design de Software - Uma Visão Sobre a Plataforma Java ,,280,"Paulo Silveira,Guilherme Silveira,Sérgio Lopes,Guilherme Moreira,Nico Steppat,Fabio Kung",Elsevier – Campus,2012
352,Java Database Programming with JDBC,9781576100561,480,Pratik Patel,Coriolis Group Books,January 1st 1996
353,Самоучитель Java,,768,Ильдар Хабибуллин,БХВ-Петербург,2008
354,Java 5.0 Program Design,9780073250304,920,"James P Cohoon,Jack W Davidson",McGraw-Hill Education,June 23rd 2005
355,Java Pageant: Impressions of the 1930s,9780195889093,304,H.W. Ponder,Oxford University Press,March 23rd 1989
356,Introduction to Cryptography with Java Applets,9780763722074,370,David   Bishop,Jones & Bartlett Publishers,December 26th 2002
357,Professional Java User Interfaces,9780471486961,632,Mauro Marinilli,John Wiley & Sons,May 12th 2006
358,Java 6 New Features,9780975212882,320,Budi Kurniawan,BrainySoftware,October 20th 2006
359,Java 3D Programming,9781930110359,400,Daniel Selman,Manning Publications,January 1st 2002
360,Java Collapse: Dari Kerja Paksa Hingga Lumpur Lapindo,9786028384360,211,"Tim Riset Java Colapse,Wiranta Yudha Ginting,Fitri Indra Harjanti",INSISTPress dan WALHI,May 2010
361,El hombre de Java: Piratas,9788479041939,48,Pierre-Yves Gabrion,Norma Editorial,November 1993
362,Classical and Object-Oriented Software Engineering with UML and Java,9780072302264,616,Stephen R. Schach,McGraw-Hill Companies,December 1st 1998
363,Java 6 Illuminated: An Active Learning Approach (Jones and Barlett Illuminated),9780763749637,1288,"Julie Anderson,Hervé J. Franceschi",Jones & Bartlett Learning,January 18th 2008
364,"Covert Java: Techniques for Decompiling, Patching, and Reverse Engineering",9780672326387,288,Alex Kalinovsky,Sams,May 13th 2004
365,Sams Teach Yourself Java 2 in 24 Hours,9780672324604,552,Rogers Cadenhead,Sams,October 22nd 2002
366,How to Think Like a Computer Scientist: Java Programming,9781441419200,310,Allen B. Downey,Createspace,March 1st 2009
367,Örneklerle Profesyonel ASP.NET,,320,Grup Java,Beta Basım Yayım,August 2003
368,Jess in Action: Java Rule-Based Systems,9781930110892,480,"Ernest Friedman Hill,Ernest Friedman Hill",Manning Publications,June 1st 2003
369,"Oracle Certified Associate, Java Se 7 Programmer Study Guide",9781849687324,332,Richard M. Reese,Packt Publishing,August 30th 2012
370,Programming with Java,9780763707071,587,Barry Holmes,Jones & Bartlett Publishers,January 1st 1998
371,Algoritms in Java,9780201361193,1312,Robert Sedgewick,Addison Wesley Publishing Company,September 1st 1998
372,Java Garage,9780321246233,461,Eben Hewitt,Prentice Hall PTR,August 12th 2004
373,Java,9781586639167,4,SparkNotes,SparkCharts,June 13th 2003
374,Journeys To Java,9789074822671,230,Marquis Yoshichika Tokugawa,ITB Press,November 2004
375,Pure JSP: Java Server Pages,9780672319020,,James Goodwill,Sams,June 8th 2000
376,JBoss Weld CDI for Java Platform,9781299735064,122,Ken Finnigan,Packt Publishing,June 13th 2014
377,Dasar Pemrograman Berorientasi Objek dengan Java 2,9789795339861,308,Isak Rickyanto,Penerbit ANDI,2003
378,Java 2 Exam Cram [Exam: 310-025],9781588801395,400,William B. Brogden,Coriolis Group Books,June 22nd 2001
379,Sams Teach Yourself Programming with Java in 24 Hours,9780672328442,576,Rogers Cadenhead,Sams,September 30th 2005
380,Struts in Action: Building Web Applications with the Leading Java Framework,9781930110502,664,"Ted Husted,Cedric Dumoulin,George Franciscus,David Winterfeldt,Craig R. McClanahan",Manning Publications,October 1st 2002
381,Gamelan: Cultural Interaction and Musical Development in Central Java,9780226780115,368,Sumarsam,University Of Chicago Press,December 15th 1995
382,Objects First with Java: A Practical Introduction Using Bluej.,9780132835541,560,D. Barnes,Pearson Education,October 1st 2011
383,Object-Oriented Data Structures Using Java,9780763737467,779,"Nell B. Dale,Daniel T. Joyce,Chip Weems",Jones & Bartlett Publishers,February 27th 2006
384,Core Java 1.1 Volume II Advanced Features,9780137669653,657,"Cay S. Horstmann,Gary Cornell",Prentice Hall Ptr,December 15th 1998
385,The Indonesian Killings 1965-1966: Studies from Java and Bali,9780732602314,279,Robert Cribb,Monash Asia Inst,1990
386,Pro Java EE Spring Patterns: Best Practices and Design Strategies Implementing Java EE Patterns with the Spring Framework,9781430210092,323,Dhrubojyoti Kayal,Apress,August 1st 2008
387,Java for C/C++ Programmers,9780471153245,443,Michael C. Daconta,Wiley,March 30th 1996
388,"Better, Faster, Lighter Java",9780596552794,266,"Bruce A. Tate,Justin Gehtland",O'Reilly Media,May 28th 2004
389,Developing Java Enterprise Applications [With *],9780471327561,800,"Stephen Asbury,Scott R. Weiner",John Wiley & Sons,February 16th 1999
390,An Introduction to Programming Using Java,9781449639037,448,Anthony J. Dos Reis,Jones & Bartlett Publishers,June 30th 2011
391,Let Us Java,,564,Yashavant Kanetkar,BPB Publications,
392,The Real-Time Specification for Java,9780201703238,195,James Gosling,Addison Wesley Longman,January 1st 2000
393,Java 2D API Graphics,9780130142665,,Vincent J. Hardy,Prentice Hall PTR,November 3rd 1999
394,Server-Based Java Programming,9781884777714,558,Ted Neward,Manning Publications,June 1st 2000
395,Java direkt med Swing,,721,Jan Skansholm,Studentlitteratur,2006
