ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
Pro Oracle Database 11g Administration,Darl Kuhn,Apress,9.78143E+12,2010,12,720,Pro Oracle Database 11g Administration,Darl Kuhn,Apress,9.78143E+12,2010,12,679
Application Cases in MIS: Using Spreadsheet and Database Software,James N. Morgan,McGraw-Hill Higher Education,9.78026E+12,1993,6,130,Application Cases In Mis: Using Spreadsheet And Database Software,James N. Morgan,Irwin Professional Publishing,9.78026E+12,1993,1,141
Relational Database Design: An Introduction,Igor T. Hawryszkiewycz,Prentice Hall Professional Technical Reference,9.78014E+12,1991,1,300,Relational Database Design: An Introduction,Igor Hawryszkiewycz,Prentice Hall,9.78014E+12,1991,1,297
Local Transcendence: Essays on Postmodern Historicism and the Database,Alan Liu,University of Chicago Press,9.78023E+12,2008,11,361,Local Transcendence: Essays on Postmodern Historicism and the Database,Alan Liu,University Of Chicago Press,9.78023E+12,2008,11,361
Local Transcendence: Essays on Postmodern Historicism and the Database,Alan Liu,University of Chicago Press,9.78023E+12,2008,11,361,Local Transcendence: Essays on Postmodern Historicism and the Database,Alan Liu,University Of Chicago Press,9.78023E+12,2008,11,408
Oracle Database 11g - Underground Advice For Database Administrators,April Sims,Packt Publishing,9.78185E+12,2010,4,348,Oracle Database 11g Underground Advice For Database Administrators,April Sims,Packt Publishing,9.78185E+12,2010,4,348
Oracle Database 11g - Underground Advice For Database Administrators,April Sims,Packt Publishing,9.78185E+12,2010,4,348,Oracle Database 11g - Underground Advice for Database Administrators,April C. Sims,Packt Publishing,9.78185E+12,2010,4,348
Database and Applications Security / Edition 1,Bhavani Thuraisingham,Taylor & Francis,9.78085E+12,2005,6,660,Database and Applications Security,Bhavani Thuraisingham,Auerbach Publications,9.7802E+12,2005,5,656
Database-Driven Web Sites,Kristin Antelman,Taylor & Francis,9.78079E+12,2002,1,133,Database-Driven Web Sites,Kristin Antelman,CRC Press,9.78079E+12,2002,10,133
Linguistic Databases,John Nerbonne,Center for the Study of Language and Inf,9.78158E+12,1998,6,264,Linguistic Databases,John Nerbonne,Center for the Study of Language and Inf,9.78158E+12,1998,6,264
Advances In Fuzzy Object-Oriented Databases,Zongmin Ma,IGI Global,9.78159E+12,2004,11,354,Advances in Fuzzy Object-Oriented Databases: Modeling and Applications,Zongmin Ma,Idea Group Publishing,9.78159E+12,2004,11,354
Database Modeling and Design / Edition 3,"Toby J. Teorey,Toby J. Teory",Elsevier Science,9.78156E+12,1998,10,384,Database Modeling and Design,Toby J. Teorey,Morgan Kaufmann Publishers,9.78156E+12,1998,10,384
Oracle Essentials: Oracle Database 11g,"Rick Greenwald,Robert Stackowiak,Jonathan Stern","O'Reilly Media, Incorporated",9.7806E+12,2007,11,408,Oracle Essentials: Oracle Database 11g,"Rick Greenwald,Jonathan Stern,Robert Stackowiak",O'Reilly Media,9.7806E+12,2007,11,408
Database Design for Smarties: Using UML for Data Modeling / Edition 1,"Robert J. Muller,Muller",Elsevier Science,9.78156E+12,1999,2,464,Database Design for Smarties: Using UML for Data Modeling,Robert J. Muller,Morgan Kaufmann Publishers,9.78156E+12,1999,3,464
"Database Design, Application Development, and Administration / Edition 2",Michael V. Mannino,"McGraw-Hill Companies, The",9.78007E+12,2003,4,768,"Database Design, Application & Administration W/ Er Asst",Michael V. Mannino,Irwin/McGraw-Hill,9.78007E+12,2003,3,735
Algebraic Structures in Automata and Database Theory,"L Ja Greenglaz,A A Gvaramija,B I Plotkin","World Scientific Publishing Company, Incorporated",9.78981E+12,1992,12,296,Algebraic Structures in Automata and Database Theory,B.I. Plotkin,World Scientific Publishing Company,9.78981E+12,1992,12,296
Readings in Object-Oriented Database Systems / Edition 1,"Stanley B. Zdonik,David Maier",Elsevier Science,9.78156E+12,1989,9,640,Readings in Object-Oriented Database Systems,Stanley B. Zdonik,Morgan Kaufmann Publishers,9.78156E+12,1989,9,640
Information Organization and Databases: Foundations of Data Organization / Edition 1,Katsumi Tanaka,Springer US,9.78079E+12,2000,12,2000,Information Organization and Databases: Foundations of Data Organization,"Katsumi Tanaka,Yahiko Kambayashi,Shahram Ghandeharizadeh",Springer,9.78079E+12,2000,12,388
The Language of SQL: How to Access Data in Relational Databases / Edition 1,Larry Rockoff,Cengage Learning,9.78144E+12,2010,6,256,The Language of SQL: How to Access Data in Relational Databases,Larry Rockoff,"Course Technology, PTR",9.78144E+12,2010,1,0
Zero Downtime Database Upgrade and Active Active Replication Using Oracle GoldenGate 11g Release 2,Kashif Aslam,CreateSpace,9.78148E+12,2012,7,268,Zero Downtime Database Upgrade & Active Active Replication Using Oracle GoldenGate 11g Release 2 ,Kashif Aslam,CreateSpace Independent Publishing Platform,9.78148E+12,2012,7,268
Successful Keyword Searching: Initiating Research on Popular Topics Using Electronic Databases,"Randall MacDonald,Susan MacDonald","Greenwood Publishing Group, Incorporated",9.78031E+12,2000,12,464,Successful Keyword Searching: Initiating Research on Popular Topics Using Electronic Databases,Randall M. MacDonald,Greenwood Press,9.78031E+12,2000,12,464
Distributed Database Systems,Wesley W. Chu,"Artech House, Incorporated",9.78089E+12,1986,6,528,Distributed Database Systems,Wesley W. Chu,Artech House Publishers,9.78089E+12,1986,6,528
Using Reflex: The Database Manager,Stephen Cobb,McGraw-Hill Osborne,9.78008E+12,1987,7,400,"Using Reflex, The Database Manager",Stephen Cobb,Osborne Publishing,9.78008E+12,1987,1,602
"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions / Edition 2",Thomas Kyte,Apress,9.78143E+12,2010,7,832,"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions",Thomas Kyte,Apress,9.78143E+12,2010,7,780
Beginning Databases with PostgreSQL,"STONES,Neil Matthew",Apress,9.78186E+12,2001,10,650,Beginning Databases with Post Gresql,"Richard Stones,Neil Matthew",Wrox Press,9.78186E+12,2001,9,592
Creating a Self-Tuning Oracle Database: Automating Oracle9i Dynamic SGA Performance,Donald K. Burleson,Rampant Techpress,9.78097E+12,2003,8,160,Creating a Self-Tuning Oracle Database: Automating Oracle9i Dynamic SGA Performance,Donald K. Burleson,Rampant Techpress,9.78097E+12,2003,8,160
"Database Systems: A Practical Approach to Design, Implementation and Management / Edition 4","Thomas M. Connolly,Carolyn E. Begg",Pearson,9.78032E+12,2004,5,1236,"Database Systems: A Practical Approach to Design, Implementation and Management","Thomas M. Connolly,Carolyn Begg",Addison Wesley,9.78032E+12,2004,5,1424
Distributed Database Management Systems,"Olin H. Bray,William Stieger",Free Press,9.78067E+12,1981,11,176,Distributed Database Management Systems,"Olin H Bray,William Stieger",Lexington Books,9.78067E+12,1982,1,163
Pro SQL Server 2012 Relational Database Design and Implementation,"Louis Davidson,Jessica Moss",Apress,9.78143E+12,2012,7,784,Pro SQL Server 2012 Relational Database Design and Implementation,"Louis Davidson,Jessica Moss",Apress,9.78143E+12,2012,7,784
OCP Oracle9i Database: Fundamentals II Exam Guide,Rama Velpuri,"McGraw-Hill Companies, The",9.78007E+12,2002,1,536,Ocp Oracle9i Database: Fundamentals II Exam Guide [With CD-ROM],Rama Velpuri,McGraw-Hill/Osborne Media,9.78007E+12,2002,1,544
Schaum's Outline of Fundamentals of Relational Databases,"Ramon Mata-Toledo,Pauline Cushman","McGraw-Hill Companies, The",9.78007E+12,2000,11,249,Schaum's Outline of Fundamentals of Relational Databases,"Ramon Mata-Toledo,Pauline Cushman",McGraw-Hill,6.39785E+11,2000,11,249
Database Programming with C# / Edition 1,"Carsten Thomsen,Manohar Kamath",Apress,9.78159E+12,2002,4,696,Database Programming with C#,Carsten Thomsen,Apress,9.78159E+12,2002,4,504
C++ Database Applications with the Paradox Engine,Thomas Finn,T A B Books,9.78083E+12,1993,8,352,C++ Database Applications with the Paradox Engine,"Thomas   Finn,Robert Signore",McGraw-Hill Companies,9.78083E+12,1993,8,325
Practical Oracle8i: Building Efficient Databases / Edition 1,Jonathan Lewis,Addison-Wesley,9.7802E+12,2000,12,672,Practical Oracle8i: Building Efficient Databases,Jonathan Lewis,Addison-Wesley Professional,9.7802E+12,2000,12,672
Professional Visual Basic 6 Databases,Charles Williams,"Wrox Press, Inc.",9.78186E+12,1999,6,800,Professional Visual Basic 6 Databases,Charles   Williams,Wrox Press,9.78186E+12,1999,6,883
Expert One-on-One Visual Basic 2005 Database Programming,Roger Jennings,Wiley,9.78076E+12,2005,12,624,Expert One-On-One Visual Basic 2005 Database Programming,Roger Jennings,Wrox Press,9.78076E+12,2005,12,585
Kingfisher Facts and Records Book: The Ultimate Information Database,"Editors of Kingfisher,Matthew Turner,Kingfisher Books",Kingfisher,9.78075E+12,2000,9,96,The Kingfisher Facts and Records Book: The Ultimate Information Database,Kingfisher Publications,Kingfisher,9.78075E+12,2000,9,96
Building Delphi Database Applications,Robert Arnson,Que,9.78079E+12,1995,10,500,Building Delphi Database Applications,Paul Kimmel,Que,9.78079E+12,1995,1,500
A Manager's Guide to Database Technology : Building and Purchasing Better Applications / Edition 1,Michael R. Blaha,Prentice Hall,9.78013E+12,2000,10,260,A Manager's Guide to Database Technology: Building and Purchasing Better Applications,Michael R. Blaha,Prentice Hall,9.78013E+12,2000,10,250
Database Design in Plain English: A Simplified Guide for Anyone to Understand Database Concepts Using a Step-by-Step Approach,Joe Herzog,"BookSurge, LLC",9.78142E+12,2007,11,168,Database Design in Plain English: A Simplified Guide for Anyone to Understand Database Concepts Using a Step-By-Step Approach,Joe Herzog,Booksurge Publishing,9.78142E+12,2007,11,168
Murach's VB.NET Database Programming With ADO.NET,"Anne Prince,Doug Lowe","Murach, Mike & Associates, Inc.",9.78189E+12,2003,4,585,Murach's VB .Net Database Programming with ADO .Net,"Anne Price,Anne Prince",Mike Murach & Associates,9.78189E+12,2003,4,592
Strategic Database Marketing,"Robert Jackson,Paul Wang,Lisa Petrison","McGraw-Hill Companies, The",9.78084E+12,1994,7,288,Strategic Database Marketing,Robert Jackson,McGraw-Hill Companies,9.78084E+12,1994,7,262
Beginning VB.Net Databases,Thearon Willis,Wiley,9.78076E+12,2004,10,768,Beginning VB.NET Databases,Thearon Willis,Wiley Publishing,9.78076E+12,2004,10,738
Database Management: Theory and Application,John C. Shepherd,McGraw-Hill Higher Education,9.78026E+12,1990,1,793,Database Management: Theory And Application,John A. Shepherd,Irwin Professional Publishing,9.78026E+12,1990,1,781
Object-Oriented Databases,"Ez Nahouraii,Frederick E. Petry",IEEE Computer Society Press,9.78082E+12,1991,3,254,Object-Oriented Databases,"Ez Nahouraii,Frederick E. Petry",Institute of Electrical & Electronics Engineers(IEEE),9.78082E+12,1991,12,245
Concepts of Database Management / Edition 7,"Philip J. Pratt,Joseph J. Adamski",Cengage Learning,9.78111E+12,2011,6,432,Concepts of Database Management,"Philip J. Pratt,Joseph J. Adamski",Course Technology,9.78111E+12,2011,6,415
Concepts of Database Management / Edition 7,"Philip J. Pratt,Joseph J. Adamski",Cengage Learning,9.78111E+12,2011,6,432,Aise Concepts of Database Management,"Joseph J. Adamski,Philip J. Pratt",Cengage Learning,9.78113E+12,2011,9,432
Data Modeling: Logical Database Design,Sideris Courseware Corp,Sideris Courseware Corp.,9.78194E+12,2011,7,398,Data Modeling: Logical Database Design,Sideris Courseware Corp,Sideris Courseware Corp.,9.78194E+12,2011,7,398
Build Your Own Database / Edition 1,Peter Jacso,American Library Association,9.78084E+12,1999,2,163,Build Your Own Database,"Peter Jacso,F. W. Lancaster",American Library Association,9.78084E+12,1999,2,163
Database Systems: Management and Design / Edition 3,"Philip J. Pratt,Joseph J. Adamski,Joseph J. Adamski",Cengage South-Western,9.78088E+12,1993,9,678,Database Systems Management and Design,"Philip J. Pratt,Joseph J. Adamski",Boyd & Fraser Pub. Co.,9.78088E+12,1993,8,678
The Linux Databases,"Fred Butzen,Dorothy Forbes","Wiley, John & Sons, Incorporated",9.78156E+12,1997,3,576,The Linux Database,Fred Butzen,MIS-Press,9.78156E+12,1997,2,456
Database Management and Control,"Kenmore S.,Ph.D. Brathwaite","McGraw-Hill Companies, The",9.78007E+12,1990,8,304,Database Management and Control,Kenmore S. Brathwaite,Intertext Publications,9.78007E+12,1990,9,311
"Distributed Databases, Cooperative Processing and Networking",Shaku Atre,McGraw-Hill Osborne,9.78007E+12,1992,6,256,"Distributed Databases, Cooperative Processing, and Networking",Shaku Atre,McGraw-Hill Companies,9.78007E+12,1992,6,256
Recovery in Parallel Database Systems,Svein-Olaf Hvasshovd,"Informatica International, Incorporated",9.78353E+12,1999,6,302,Recovery in Parallel Database Systems,Svein-Olaf Hvasshovd,Vieweg+teubner Verlag,9.78353E+12,1999,9,302
Recovery in Parallel Database Systems,Svein-Olaf Hvasshovd,"Informatica International, Incorporated",9.78353E+12,1999,6,302,Recovery in Parallel Database Systems,Svein-Olaf Hvasshovd,Friedr Vieweg & Sohn Verlagsgesellschaft,9.78353E+12,1996,6,302
Fuzzy Preference Queries To Relational Databases,"Olivier Pivert,Patrick Bosc",Imperial College Press,9.78185E+12,2012,4,330,Fuzzy Preference Queries to Relational Databases,"Olivier Pivert,Patrick Bosc",Imperial College Press,9.78185E+12,2012,2,330
Designing Database Applications with Objects and Rules: The IDEA Methodology / Edition 1,"Stefano Ceri,Piero Fraternali",Addison-Wesley,9.7802E+12,1997,6,600,Designing Database Applications with Objects and Rules: The Idea Methodology,"Stefano Ceri,Piero Fraternali",Addison Wesley Longman,9.7802E+12,1997,6,579
Expert Oracle Database Architecture,Thomas Kyte,Apress,9.78143E+12,2014,11,824,Expert Oracle Database Architecture,Thomas Kyte,Apress,9.78143E+12,2014,11,824
"Microsoft Visual Basic 2010 for Windows Applications for Windows, Web, Office, and Database Applications: Complete / Edition 1","Gary B. Shelly,Corinne Hoisington",Cengage Learning,9.78054E+12,2010,8,768,"Microsoft Visual Basic 2010 for Windows, Web, Office, and Database Applications: Comprehensive",Gary B. Shelly,Cengage Learning,9.78054E+12,2010,9,1048
Beginning ASP.NET 1.1 Databases: From Novice to Professional,"Dan Maharry,Damien Foggon,Julian Skinner",Apress,9.78159E+12,2004,8,632,Beginning C# Databases: From Novice to Professional,"James Huddleston,Scott Allen,Ranga Raghuram",Apress,9.78159E+12,2004,11,648
"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions",Thomas Kyte,Apress,9.78143E+12,2010,7,832,"Expert Oracle Database Architecture: Oracle Database 9i, 10g, and 11g Programming Techniques and Solutions",Thomas Kyte,Apress,9.78143E+12,2010,7,780
"Object Orientation: Concepts, Languages, Databases, User Interfaces","Setrag Khoshafian,Razmik Abnous",Wiley,9.78047E+12,1990,7,448,"Object Orientation: Concepts, Languages, Databases, User Interface","Setrag Khoshafian,Razmik Abnous",Wiley-Interscience,9.78047E+12,1990,7,434
Murach's ADO. NET 4 Database Programming with VB 2010 / Edition 4,"Anne Boehm,Ged Mead","Murach, Mike & Associates, Inc.",9.78189E+12,2011,3,756,Murach's ADO.NET 4 Database Programming with C# 2010,"Anne Boehm,Ged Mead",Mike Murach & Associates,9.78189E+12,2011,4,712
"Modeling Financial Markets : Using Visual Basic.Net and Databases to Create Pricing, Trading, and Risk Management Models / Edition 1","Benjamin Van Vliet,Robert Hendry","McGraw-Hill Companies, The",9.78007E+12,2004,1,304,"Modeling Financial Markets: Using Visual Basic.Net and Databases to Create Pricing, Trading, and Risk Management Models [With CDROM]","Benjamin Van Vilet,Robert  Hendry,Benjamin Van Vilet",McGraw-Hill Companies,9.78007E+12,2004,1,392
Database Management Systems,Patricia Ward,Cengage Learning,9.78141E+12,2008,1,392,Database Management Systems,"Patricia Ward,George Dafoulas",Cengage Learning,9.78141E+12,2008,1,392
Engineering Databases: Connecting Islands of Automation Through Databases,"Jose L. Encarnacao,Peter C. Lockemann",Springer Berlin Heidelberg,9.78364E+12,2012,7,229,Engineering Databases: Connecting Islands of Automation Through Databases,"José Luis Encarnação,Peter C. Lockemann",Springer,9.78364E+12,2011,10,229
Instant ActiveX Web Database Programming,"Alex Homer,Steven Jakab",Apress,9.78186E+12,1996,12,227,Instant ActiveX Web Database Programming,Alex Homer,Wrox Press,9.78186E+12,1997,1,256
OCP Oracle9i Database: Fundamentals I Exam Guide,"Jason Couchman,Sudheer Marisetti","McGraw-Hill Companies, The",9.78007E+12,2002,1,561,Ocp Oracle9i Database: Fundamentals I Exam Guide [With CD-ROM],"Jason Couchman,Sudheer Marisetti",McGraw-Hill/Osborne Media,9.78007E+12,2002,1,561
Oracle Database Transactions and Locking Revealed,Thomas Kyte,Apress,9.78148E+12,2014,11,188,Oracle Database Transactions and Locking Revealed,"Thomas Kyte,Darl Kuhn",Apress,9.78148E+12,2014,11,188
Principles of Database Query Processing for Advanced Applications / Edition 1,"Clement T. Yu,Weiyi Meng",Elsevier Science,9.78156E+12,1997,12,512,Principles of Database Query Processing for Advanced Applications,Clement T. Yu,Morgan Kaufmann Publishers,9.78156E+12,1997,12,512
Java Database Connectivity,Heinz Hille,Europ ischer Hochschulverlag GmbH & Co. KG,9.78394E+12,2009,7,96,Java Database Connectivity,Heinz Hille,Europ Ischer Hochschulverlag Gmbh & Co. Kg,9.78394E+12,2009,7,96
Database Performance Tuning on AIX,Budi Darmawan,I B M,9.78074E+12,2003,1,516,Database Performance Tuning on AIX,Budi Darmawan,IBM.Com/Redbooks,9.78074E+12,2004,8,516
Semantic Models for Multimedia Database Searching and Browsing,"Shu-Ching Chen,R.L. Kashyap,Arif Ghafoor",Springer US,9.78148E+12,2013,12,0,Semantic Models for Multimedia Database Searching and Browsing,"Shu-Ching Chen,Rangasami L. Kashyap,Arif Ghafoor",Springer,9.78148E+12,2013,3,150
Advances in Fuzzy Object- Oriented Databases: Modeling and Applications,"Ma,Zongmin Ma",IGI Global,9.78159E+12,2004,11,343,Advances in Fuzzy Object-Oriented Databases: Modeling and Applications,Zongmin Ma,Idea Group Publishing,9.78159E+12,2004,11,354
Beginning Oracle Database 11g Administration: From Novice to Professional,Ignatius Fernandez,Apress,9.78159E+12,2009,2,464,Beginning Oracle Database 11g Administration: From Novice to Professional,Iggy Fernandez,Apress,9.78159E+12,2009,2,430
Database: Principles Programming Performance,Patrick O'Neil,Elsevier Science & Technology Books,9.78156E+12,1994,6,753,Database: Principles Programming Performance,Patrick O'Neil,Morgan Kaufmann Publishers,9.78156E+12,1994,1,873
Database Management: Principles and Products,"Charles J. Bontempo,Cynthia Maro Saracco",Prentice Hall Professional Technical Reference,9.78013E+12,1995,8,390,Database Management: Principles And Products,"Charles J. Bontempo,Cynthia Maro Saracco",Prentice Hall PTR,9.78013E+12,1995,9,390
Defensive Database Programming With Sql Server,Alex Kuznetsov,Red gate books,9.78191E+12,2010,5,394,Defensive Database Programming with SQL Server,Alex Kuznetsov,Red Gate Books,9.78191E+12,2010,5,394
Inside the Database Object Model / Edition 1,Donald K. Burleson,Taylor & Francis,9.78085E+12,1998,6,240,Inside the Database Object Model,Donald K. Burleson,CRC Press,9.78085E+12,1998,6,240
Oracle Database 10g New Features / Edition 1,"Robert Freeman,Jonathan Lewis",McGraw-Hill Professional Publishing,9.78007E+12,2004,3,264,Oracle Database 10g New Features,"Robert G. Freeman,Jonathan Lewis",McGraw-Hill/Osborne Media,9.78007E+12,2004,4,240
Programming Microsoft Visual Basic .NET for Microsoft Access Databases,Rick Dobson,Microsoft Press,9.78074E+12,2002,12,656,Programming Microsoft Visual Basic .NET for Microsoft Access Databases,Rick Dobson,Microsoft Press,9.78074E+12,2003,1,656
Database Programming Languages 2nd,"Richard Hull,David Stemple,Ron Morrison",Elsevier Science,9.78156E+12,1989,9,442,Database Programming Languages 2nd,Richard   Hull,Morgan Kaufmann Publishers,9.78156E+12,1989,9,442
Databases for Health Care,G. Wiederhold,Springer Berlin Heidelberg,9.78354E+12,1981,5,0,Databases for Health Care,G Wiederhold,Springer My Copy UK,9.78364E+12,1981,5,88
Beginning VB 2005 Databases: From Novice to Professional,"Jacob Hammer Pedersen,Ranga Raghuram,Jon Reid,James Huddleston,Syed Fahad Gilani",Apress,9.78159E+12,2007,2,491,Beginning C# 2008 Databases: From Novice to Professional,"James Huddleston,Ranga Raghuram",Apress,9.78159E+12,2007,10,482
Beginning VB 2005 Databases: From Novice to Professional,"Jacob Hammer Pedersen,Ranga Raghuram,Jon Reid,James Huddleston,Syed Fahad Gilani",Apress,9.78159E+12,2007,2,491,Beginning C# 2005 Databases: From Novice to Professional,"James Huddleston,Syed Fahad Gilani,Ranga Raghuram",Apress,9.78159E+12,2007,1,500
Beginning VB 2005 Databases: From Novice to Professional,"Jacob Hammer Pedersen,Ranga Raghuram,Jon Reid,James Huddleston,Syed Fahad Gilani",Apress,9.78159E+12,2007,2,491,Beginning VB 2005 Databases: From Novice to Professional,"James Huddleston,Syed Fahad Gilani",Apress,9.78159E+12,2007,3,492
Beginning VB 2005 Databases: From Novice to Professional,"Jacob Hammer Pedersen,Ranga Raghuram,Jon Reid,James Huddleston,Syed Fahad Gilani",Apress,9.78159E+12,2007,2,491,Beginning C# 2008 Databases: From Novice to Professional,"Vidya Vrat Agarwal,James Huddleston,Ranga Raghuram,Fahad Syed Gilani,Hammer Jacob Pedersen,Jon Reid","Springer-Verlag New York, LLC",9.78143E+12,2008,1,512
SAT Math Database Book A,John Su,CreateSpace Publishing,9.78151E+12,2015,8,472,SAT Math Database Book a,John Su,Createspace,9.78151E+12,2015,8,472
Object Persistence: Beyond Object Oriented Databases,Roger Sessions,Prentice Hall Professional Technical Reference,9.78013E+12,1996,5,250,Object Persistence: Beyond Object Oriented Databases,Roger Sessions,Prentice Hall PTR,9.78013E+12,1996,5,250
Advances in Knowledge Discovery in Databases,"Animesh Adhikari,Jhimli Adhikari",Springer International Publishing,9.78332E+12,2015,2,2015,Advances in Knowledge Discovery in Databases,"Animesh Adhikari,Jhimli Adhikari",Springer,9.78332E+12,2015,2,370
A First Course in Database Systems / Edition 2,"Jeffrey Ullman,Jennifer D. Widom",Prentice Hall,9.78013E+12,2001,10,528,A First Course in Database Systems (GOAL Series),"Jeffrey D. Ullman,Jennifer Widom",Prentice Hall,9.78013E+12,2001,10,528
Database Benchmarking: Practical Methods for Oracle & SQL Server,"Bert Scalzo,Donald K. Burleson,Claudia Fernandez",Rampant Techpress,9.78098E+12,2007,4,200,Database Benchmarking: Practical Methods for Oracle & SQL Server,"Bert Scalzo,Kevin E. Kline,Claudia Fernandez,Mike Ault,Donald K. Burleson",Rampant Techpress,9.78098E+12,2007,4,200
Architecture Of A Database System,"Joseph M Hellerstein,Michael Stonebraker,James Hamilton",Now Publishers,9.7816E+12,2007,9,136,Architecture of a Database System,"Joseph M. Hellerstein,James Hamilton,Michael Stonebraker",Now Publishers,9.7816E+12,2007,9,136
Business Processes: A Database Perspective,"Tavo Milo,Tova Milo",Morgan & Claypool Publishers,9.78161E+12,2012,7,104,Business Processes: A Database Perspective,"Daniel Deutch,Tova Milo",Morgan & Claypool,9.78161E+12,2012,8,103
"Databases in Historical Research: Theory, Methods, and Applications","Charles Harvey,Jon Press",Palgrave Macmillan,9.78031E+12,1996,1,349,"Databases In Historical Research: Theory, Methods, And Applications","Charles Harvey,Jon Press",St. Martin's Press,9.78031E+12,1996,2,331
Access Control For Databases,"Elisa Bertino,Gabriel Ghinita,Ashish Kamra",Now Publishers,9.7816E+12,2011,1,166,Access Control for Databases,"Elisa Bertino,Gabriel Ghinita,Ashish Kamra",Now Publishers,9.7816E+12,2011,1,166
"Custom: Database Design &amp, Development Simplified for Health Management / Edition 1",Marselis,Cengage Learning7,9.78111E+12,2009,7,242,Custom: Database Design & Development Simplified,Marselis,Cengage Learning,9.78111E+12,2009,7,280
Oracle Database 10g PL/SQL Programming / Edition 1,"Scott Urman,Ron Hardman,Michael McLaughlin",McGraw-Hill Professional Publishing,9.78007E+12,2004,8,896,Oracle Database 10g PL/SQL Programming,"Scott Urman,Michael McLaughlin,Ron Hardman,Ron Hartman",McGraw-Hill/Osborne Media,9.78007E+12,2004,9,862
Database Strategies: Using Informix XPS and DB2 Universal Database,Chuck Ballard,I B M,9.78074E+12,2005,1,458,Database Strategies: Using Informix XPS and DB2 Universal Database,Chuck Ballard,IBM.Com/Redbooks,9.78074E+12,2005,12,458
Index Data Structures in Object-Oriented Databases / Edition 1,Thomas A. Mueck,Springer US,9.78079E+12,1997,8,1997,Index Data Structures in Object-Oriented Databases,Thomas A. Mueck,Springer,9.78079E+12,1997,8,177
Distributed and Multi-Database Systems,Angelo R. Bobak,Random House Publishing Group,9.78055E+12,1993,2,496,Distributed and Multi-Database Systems,Angelo R. Bobak,Bantam Books,9.78055E+12,1993,4,477
Distributed Multimedia Databases: Techniques and Applications,Zee,IGI Global,9.78193E+12,2003,4,384,Distributed Multimedia Databases: Techniques and Applications,"Han T. M. van der Zee,Zee",IRM Press,9.78193E+12,2003,4,379
Professional SQL Server 2000 Database Design,DAVIDSON,Apress,9.78186E+12,2001,3,627,Professional SQL Server 2000 Database Design,Louis Davidson,Wrox Press,9.78186E+12,2001,3,607
Database Programming Languages,"Francois Bancilhon,Peter Buneman",Addison-Wesley,9.7802E+12,1990,1,448,Advances In Database Programming Languages,François Bancilhon,Association for Computing Machinery (ACM),9.7802E+12,1990,1,457
"Managing Time in Relational Databases: How to Design, Update and Query Temporal Data","Tom Johnston,Randall Weis",Elsevier Science,9.78012E+12,2010,8,512,"Managing Time in Relational Databases: How to Design, Update and Query Temporal Data","Tom Johnston,Randall Weis",Morgan Kaufmann Publishers,9.78012E+12,2010,7,478
Xml Databases and the Semantic Web,Bhavani Thuraisingham,Taylor & Francis,9.78085E+12,2002,3,336,XML Databases and the Semantic Web,Bhavani Thuraisingham,CRC Press,9.78085E+12,2002,3,336
"Next Generation Databases: NoSQL, NewSQL, and Big Data",Guy Harrison,Apress,9.78148E+12,2015,12,250,Next Generation Databases: Nosqland Big Data,Guy Harrison,Apress,9.78148E+12,2015,12,235
Instant Oracle Database and PowerShell How-to,Geoffrey Hudik,Packt Publishing Pvt. Ltd.,9.78185E+12,2013,1,0,Instant Oracle Database and Powershell How-To,Geoffrey Hudik,Packt Publishing,9.78185E+12,2013,1,80
Semantic Mining Technologies For Multimedia Databases,Dacheng Tao,IGI Global,9.78161E+12,2011,3,552,Semantic Mining Technologies for Multimedia Databases,"Dacheng Tao,Xu Dong,Xuelong Li",Information Science Publishing,9.78161E+12,2011,3,532
Microsoft SQL Server 2000 Database Administrator's Guidebook,Carl H. Speshock,Prentice Hall,9.78013E+12,2001,10,474,Microsoft SQL Server 2000 Database Administrator's Guidebook,Carl H. Speshock,Prentice Hall,9.78013E+12,2001,10,480
Electronic Databases and Publishing,Albert Henderson,Transaction Publishers,9.78156E+12,1997,1,253,Electronic Databases and Publishing,Albert Henderson,Transaction Publishers,9.78156E+12,1997,1,253
The Database Administrator,John K. Lyon,"Wiley, John & Sons, Incorporated",9.78047E+12,1976,4,170,The Database Administrator,John K. Lyon,John Wiley & Sons,9.78047E+12,1976,1,175
Beginning VB 2008 Databases: From Novice to Professional / Edition 1,"Vidya Vrat Agarwal,James Huddleston",Apress,9.78159E+12,2008,4,409,Beginning VB 2008 Databases: From Novice to Professional,"Vidya Vrat Agarwal,James Huddleston",Apress,9.78159E+12,2008,4,409
Beginning VB 2008 Databases: From Novice to Professional / Edition 1,"Vidya Vrat Agarwal,James Huddleston",Apress,9.78159E+12,2008,4,409,Beginning C# 2008 Databases: From Novice to Professional,"Vidya Vrat Agarwal,James Huddleston,Ranga Raghuram,Fahad Syed Gilani,Hammer Jacob Pedersen,Jon Reid","Springer-Verlag New York, LLC",9.78143E+12,2008,1,512
